date,gross,fees,slippage,funding,net
2025-01-15,0.0031237078057783467,-0.0,-0.0,-1.3009000000000014e-05,0.0031106988057783467
2025-01-16,0.004634155182077548,-0.0,-0.0,-0.00010969300000000001,0.004524462182077548
2025-01-17,-0.025067302491515633,-0.0,-0.0,-0.00012518999999999999,-0.025192492491515634
2025-01-18,0.015149089753629878,-0.0,-0.0,-0.00023121900000000004,0.014917870753629879
2025-01-19,-0.02266784144095009,-0.0,-0.0,-5.6868999999999994e-05,-0.02272471044095009
2025-01-20,0.0098930986077874,-0.0005,-0.0003,-0.000143279,0.0089498196077874
2025-01-21,-0.005164248283912732,-0.0,-0.0,-0.00018484100000000004,-0.0053490892839127314
2025-01-22,0.015589157012490378,-0.0,-0.0,-0.00015799299999999996,0.015431164012490377
2025-01-23,-0.0005133892924797153,-0.0,-0.0,-0.00030882199999999994,-0.0008222112924797152
2025-01-24,0.015972170662891652,-0.0,-0.0,-9.9007e-05,0.01587316366289165
2025-01-25,-0.002232241746058138,-0.0,-0.0,-1.7834000000000006e-05,-0.002250075746058138
2025-01-26,0.0038252235642139984,-0.0,-0.0,-0.00014977400000000003,0.0036754495642139983
2025-01-27,0.01608456125407153,-0.0002,-0.00011999999999999999,-0.00024022799999999996,0.01552433325407153
2025-01-28,0.037701580622465834,-0.0,-0.0,-0.00023392700000000004,0.03746765362246583
2025-01-29,-0.0071431826166819656,-0.0,-0.0,-2.3516000000000003e-05,-0.007166698616681966
2025-01-30,-0.01258091322189241,-0.0,-0.0,-0.000131676,-0.01271258922189241
2025-01-31,-0.016754652092415733,-0.0,-0.0,6.702499999999999e-05,-0.016687627092415735
2025-02-01,0.024296773847912824,-0.0,-0.0,-6.492399999999999e-05,0.024231849847912823
2025-02-02,0.03245968103175466,-0.0,-0.0,-3.186500000000001e-05,0.03242781603175466
2025-02-03,-0.014951673643263788,-0.0003,-0.00017999999999999998,-0.0004462739999999999,-0.015877947643263786
2025-02-04,0.008476750407721423,-0.0,-0.0,-0.00010342800000000001,0.008373322407721423
2025-02-05,0.008095130339885692,-0.0,-0.0,-1.4147999999999997e-05,0.008080982339885691
2025-02-06,0.028712486598987588,-0.0,-0.0,-5.6732000000000005e-05,0.028655754598987587
2025-02-07,-0.0014587501047415242,-0.0,-0.0,-0.000341199,-0.0017999491047415242
2025-02-08,-0.023336160177886128,-0.0,-0.0,-0.00041270799999999997,-0.02374886817788613
2025-02-09,0.00992037571279294,-0.0,-0.0,-0.00022398100000000002,0.00969639471279294
2025-02-10,0.0065511902945710855,-0.0005000000000000001,-0.00030000000000000003,-0.000167131,0.005584059294571085
2025-02-11,0.014906957022482084,-0.0,-0.0,-9.600400000000001e-05,0.014810953022482084
2025-02-12,-0.015547672436659643,-0.0,-0.0,-0.000127892,-0.015675564436659642
2025-02-13,-0.00011747388445889706,-0.0,-0.0,-0.00011106800000000003,-0.0002285418844588971
2025-02-14,-0.023730191908546017,-0.0,-0.0,-9.729299999999999e-05,-0.023827484908546016
2025-02-15,0.022608844089154558,-0.0,-0.0,-0.00022212300000000001,0.022386721089154557
2025-02-16,-0.007036181526944795,-0.0,-0.0,-7.2935e-05,-0.007109116526944795
2025-02-17,0.00549422025706573,-0.0002,-0.00011999999999999999,-0.00011867,0.00505555025706573
2025-02-18,0.03448393075705047,-0.0,-0.0,-0.000275089,0.03420884175705047
2025-02-19,0.019726235980317985,-0.0,-0.0,-0.000177109,0.019549126980317983
2025-02-20,-0.023306744306496464,-0.0,-0.0,-0.00012198,-0.023428724306496465
2025-02-21,-0.013163554897013941,-0.0,-0.0,-0.00020482700000000004,-0.013368381897013941
2025-02-22,-0.013787586891637406,-0.0,-0.0,-0.000619893,-0.014407479891637405
2025-02-23,0.013593526270947277,-0.0,-0.0,-0.000189731,0.013403795270947276
2025-02-24,0.026702078991650134,-0.0005,-0.0003,-0.00025264299999999993,0.025649435991650132
2025-02-25,-0.014444771371309808,-0.0,-0.0,-0.00021879900000000002,-0.014663570371309808
2025-02-26,0.006760536480722522,-0.0,-0.0,-3.928000000000002e-05,0.006721256480722522
2025-02-27,-0.0046632094635911565,-0.0,-0.0,-1.5684999999999983e-05,-0.004678894463591156
2025-02-28,-0.016671770829898402,-0.0,-0.0,-3.2078e-05,-0.016703848829898404
2025-03-01,0.01466821040476338,-0.0,-0.0,8.215000000000009e-06,0.01467642540476338
2025-03-02,-0.06202194429766668,-0.0,-0.0,9.0581e-05,-0.06193136329766668
2025-03-03,0.022514594843842002,-0.0007000000000000002,-0.00042000000000000007,4.9715000000000014e-05,0.021444309843842
2025-03-04,-0.009092958013737619,-0.0,-0.0,-5.3552000000000005e-05,-0.009146510013737619
2025-03-05,0.0017659343257330868,-0.0,-0.0,4.858899999999999e-05,0.0018145233257330867
2025-03-06,0.010947159234630511,-0.0,-0.0,3.315100000000001e-05,0.010980310234630511
2025-03-07,-0.01756243827915387,-0.0,-0.0,3.200500000000001e-05,-0.017530433279153868
2025-03-08,0.004708009766582345,-0.0,-0.0,-4.175400000000001e-05,0.004666255766582346
2025-03-09,0.01182498687963083,-0.0,-0.0,-0.000137161,0.01168782587963083
2025-03-10,-0.015747335317422496,-0.0006000000000000001,-0.00036,9.765600000000003e-05,-0.016609679317422493
2025-03-11,-0.02564881688169112,-0.0,-0.0,0.00020624200000000004,-0.025442574881691122
2025-03-12,-0.0371942361230268,-0.0,-0.0,-0.001029954,-0.0382241901230268
2025-03-13,-0.006507119105313433,-0.0,-0.0,-0.000147059,-0.006654178105313433
2025-03-14,-0.01195866758887384,-0.0,-0.0,5.782500000000001e-05,-0.01190084258887384
2025-03-15,-0.00020864290137172486,-0.0,-0.0,3.937999999999995e-06,-0.00020470490137172487
2025-03-16,0.016531104069359093,-0.0,-0.0,4.449299999999999e-05,0.016575597069359092
2025-03-17,-0.02951292675907843,-0.0004,-0.00023999999999999998,6.463600000000001e-05,-0.030088290759078432
2025-03-18,0.01839644207194615,-0.0,-0.0,-3.0447e-05,0.01836599507194615
2025-03-19,-0.018545044618620048,-0.0,-0.0,5.6346e-05,-0.01848869861862005
2025-03-20,0.01036839455978489,-0.0,-0.0,-6.3855e-05,0.01030453955978489
2025-03-21,0.0019660526214858804,-0.0,-0.0,0.00011441899999999999,0.0020804716214858805
2025-03-22,-0.021405291425380345,-0.0,-0.0,9.828600000000003e-05,-0.021307005425380346
2025-03-23,-0.02386926468821548,-0.0,-0.0,9.068000000000002e-05,-0.02377858468821548
2025-03-24,-0.005131320971285391,-0.0005,-0.0003,1.8703999999999986e-05,-0.005912616971285391
2025-03-25,-0.02552076576944743,-0.0,-0.0,4.191600000000002e-05,-0.02547884976944743
2025-03-26,0.00822150093118934,-0.0,-0.0,-0.00016663400000000006,0.00805486693118934
2025-03-27,-0.006746738945888964,-0.0,-0.0,-3.326200000000001e-05,-0.006780000945888964
2025-03-28,0.025488300697488232,-0.0,-0.0,4.7457999999999985e-05,0.025535758697488233
2025-03-29,0.038263863456595784,-0.0,-0.0,-9.5615e-05,0.038168248456595784
2025-03-30,-0.005766861469247187,-0.0,-0.0,-3.668400000000001e-05,-0.005803545469247187
2025-03-31,-0.0027126954699728256,-0.0008,-0.00047999999999999996,-0.000519711,-0.0045124064699728255
2025-04-01,0.007280195949521828,-0.0,-0.0,0.000215501,0.007495696949521828
2025-04-02,-0.008691027639752057,-0.0,-0.0,4.5364e-05,-0.008645663639752056
2025-04-03,-0.0068202508572335905,-0.0,-0.0,0.00012218900000000003,-0.0066980618572335905
2025-04-04,0.011042519077196068,-0.0,-0.0,0.000134789,0.011177308077196068
2025-04-05,-0.008308597396107597,-0.0,-0.0,-1.7339999999999973e-06,-0.008310331396107597
2025-04-06,0.01523465636927315,-0.0,-0.0,0.00013275,0.015367406369273149
2025-04-07,0.0066450670044895365,-0.0005,-0.0003,0.00013707000000000001,0.0059821370044895366
2025-04-08,0.009040377292551305,-0.0,-0.0,3.7865000000000004e-05,0.009078242292551305
2025-04-09,-0.02153436409533452,-0.0,-0.0,-1.736200000000001e-05,-0.02155172609533452
2025-04-10,-0.0018867318911324638,-0.0,-0.0,-3.9569e-05,-0.0019263008911324638
2025-04-11,0.00019347895641686277,-0.0,-0.0,-0.000110094,8.338495641686277e-05
2025-04-12,-0.0005241831514751754,-0.0,-0.0,-0.000166455,-0.0006906381514751754
2025-04-13,0.010511260938453913,-0.0,-0.0,4.386999999999997e-06,0.010515647938453913
2025-04-14,0.011599509895193061,-0.0007000000000000001,-0.00042,-8.9818e-05,0.01038969189519306
2025-04-15,-0.016031709032816668,-0.0,-0.0,0.00011269000000000001,-0.01591901903281667
2025-04-16,-0.0021878075049318723,-0.0,-0.0,-6.104e-05,-0.0022488475049318724
2025-04-17,0.024870107244239707,-0.0,-0.0,-0.00014195900000000001,0.024728148244239707
2025-04-18,0.018945740285896042,-0.0,-0.0,-0.00024319800000000003,0.018702542285896042
2025-04-19,-0.000676417725522739,-0.0,-0.0,-0.0005696930000000002,-0.0012461107255227393
2025-04-20,0.005771768303284419,-0.0,-0.0,1.7634e-05,0.005789402303284419
2025-04-21,0.018768628132594403,-0.0005,-0.0003,3.9208e-05,0.0180078361325944
2025-04-22,0.007377781543605135,-0.0,-0.0,0.000151718,0.007529499543605135
2025-04-23,-0.005645602797922568,-0.0,-0.0,0.00012607500000000004,-0.005519527797922568
2025-04-24,0.008649012869653474,-0.0,-0.0,3.6339999999999994e-05,0.008685352869653473
2025-04-25,0.025430266542428928,-0.0,-0.0,3.790600000000001e-05,0.02546817254242893
2025-04-26,-0.0241539751056736,-0.0,-0.0,0.00038088,-0.0237730951056736
2025-04-27,0.01959742288908023,-0.0,-0.0,0.000247321,0.01984474388908023
2025-04-28,0.019135940820787734,-0.0005,-0.0003,0.000115874,0.01845181482078773
2025-04-29,-0.009373236867325899,-0.0,-0.0,0.000153375,-0.009219861867325898
2025-04-30,0.0018814616681690488,-0.0,-0.0,-1.664499999999999e-05,0.0018648166681690488
